order_id,customer_id,order_date,expedition_id,gear_type,gear_id,gear_purchase_price,order_quantity,order_amount,order_status
843e06a2-32c3-4a16-a6db-71717b9d24ce,6650c90c-1494-45a7-8ffe-20429775811a,2024-07-04,62b89b75-b311-4ece-acf3-c3edb1e5482c,Otto's Safety Helmet,SKU-003,50.0,7,350.0,Canceled
83c885b1-5148-48ce-80ff-b641cccfaddc,3b7c3750-1094-4847-a0dc-a7380bbd9bd3,2024-07-26,62b89b75-b311-4ece-acf3-c3edb1e5482c,Goat's Warm Sleeping Bag,SKU-004,120.0,3,360.0,Canceled
22954794-d146-45ef-8b18-4ec12ef1cccf,5e637473-9ef4-4ebf-99f7-ad9e182e1a1b,2024-07-23,62b89b75-b311-4ece-acf3-c3edb1e5482c,Mountain Goat Ice Axe,SKU-002,100.0,1,100.0,Completed
c5562cc0-9921-46df-95a7-5f62ddac2dce,1799119f-15f6-45fe-8456-17c49cf54a45,2024-07-10,,Otto's Safety Helmet,SKU-003,50.0,3,150.0,Pending
fad8ddd4-9141-4be5-bfc6-daf28b01312e,0a5dedec-185c-4d2f-bd20-f0400aa5625f,2024-07-16,62b89b75-b311-4ece-acf3-c3edb1e5482c,Otto's Cozy Tent,SKU-001,150.0,3,450.0,Pending
b1a61e8e-c0a1-427f-94ad-b1033fa67702,0d857729-153c-4d33-a349-cbda58ef9604,2024-07-19,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,Otto's Climbing Crampons,SKU-007,110.0,7,770.0,Completed
4b768b8c-3669-4ebf-9ac1-29281b29fda3,8f7f933f-0065-4161-8e3e-0a50639811c4,2024-07-29,67b9537c-68c1-4395-9d3c-29f855a69458,Mountain Goat Ice Axe,SKU-002,100.0,3,300.0,Canceled
d9bcbba9-cb97-4185-92a7-9b51e2e864ca,985a10f4-5793-4819-99dc-b35dbce0bd54,2024-07-09,,Goat's Warm Sleeping Bag,SKU-004,120.0,2,240.0,Pending
a82af799-0095-47bb-8686-12740b8d8b66,54650536-ff56-4863-a752-4d2b55a14f9f,2024-07-31,586f9e72-1fde-4160-9e85-e24a8a47d426,Goat's Secure Harness,SKU-006,90.0,9,810.0,Pending
567c74cf-3c7b-41fd-bb1d-c00a526b738a,79b3a218-e6d1-40b8-96cc-4a1feeb37189,2024-07-11,,Otto's Climbing Crampons,SKU-007,110.0,1,110.0,Completed
39a81c0c-dbf2-4e08-a79b-862236a81f56,f3088589-8eb6-4c8e-802a-87b0d6c2f166,2024-07-07,,Otto's Climbing Crampons,SKU-007,110.0,5,550.0,Canceled
21b8a5e3-897e-4305-9137-81f6ccedc97b,d45b4db0-29aa-40c7-96ea-29ee8404b132,2024-07-04,e2300f24-a25d-4e8d-9c82-d83e2095de9a,Mountain Goat Ice Axe,SKU-002,100.0,9,900.0,Canceled
4b80e6dc-be99-484d-9a45-1c6686618a30,67b47bfd-2cd2-42cc-95fc-0a829563c87d,2024-07-28,e2300f24-a25d-4e8d-9c82-d83e2095de9a,Otto's Safety Helmet,SKU-003,50.0,5,250.0,Pending
0b961e72-5bab-4078-a52f-fb31bb92de1c,32afadcf-d6f8-4e0a-b93a-381dc3b9cb94,2024-07-14,e2300f24-a25d-4e8d-9c82-d83e2095de9a,Otto's Adventure Rope,SKU-005,80.0,2,160.0,Canceled
ea2a833e-998c-4e9e-815d-e33e27bb18b8,5982846c-d970-469b-9de8-0588cd53c62e,2024-07-01,58654774-a589-4677-a4af-a39d4bb8c024,Otto's Adventure Rope,SKU-005,80.0,2,160.0,Pending
07369ead-f2b3-441d-aa31-61b1f0694a51,e8172673-4e61-4f4a-a485-bbaa03971c21,2024-07-20,,Otto's Climbing Crampons,SKU-007,110.0,6,660.0,Canceled
88e15ab2-4f81-4586-8d25-b945390d958f,4e0d7167-bb35-4539-8b78-dccf29f2b23e,2024-07-02,58654774-a589-4677-a4af-a39d4bb8c024,Otto's Adventure Rope,SKU-005,80.0,6,480.0,Canceled
a0fcad58-9c7d-43bf-9e5e-013658b32011,4e0d7167-bb35-4539-8b78-dccf29f2b23e,2024-07-16,,Otto's Adventure Rope,SKU-005,80.0,5,400.0,Completed
45ea1a16-5662-4e83-86c7-996d2501f3c1,a25a6699-629a-4e9d-8d16-94fbc89b07df,2024-07-03,58654774-a589-4677-a4af-a39d4bb8c024,Goat's Warm Sleeping Bag,SKU-004,120.0,4,480.0,Pending
547e0124-86ad-4298-be93-b1c27e3d9cbf,2ec7b6b6-ac79-441e-8195-40b5b4ac20f2,2024-07-18,,Otto's Adventure Rope,SKU-005,80.0,10,800.0,Completed
ab9c05f2-de88-480c-9e35-0ad5fd3ccaeb,685a8b99-037d-4e80-858c-eb5809dbd063,2024-07-03,,Otto's Cozy Tent,SKU-001,150.0,5,750.0,Canceled
53b4498f-b307-4e5a-ab58-1fd335d2796e,147d07c4-714d-4560-88fd-27e834159882,2024-07-09,,Otto's Cozy Tent,SKU-001,150.0,7,1050.0,Canceled
eebab059-d2d5-4c19-8658-b2c864cb7f7f,239d2cbe-c58e-45f9-a2f9-6c45588c2930,2024-07-23,58654774-a589-4677-a4af-a39d4bb8c024,Mountain Goat Ice Axe,SKU-002,100.0,4,400.0,Completed
30ce72fc-8a8f-4735-b5ac-03faedd744e4,0139704b-1052-42fc-9bfc-e41148509361,2024-07-07,,Otto's Climbing Crampons,SKU-007,110.0,10,1100.0,Canceled
a708b1d4-6dd2-4eac-bf33-02a21c6e7b8c,43231a0d-20d2-4a33-bde3-d21fe03d4759,2024-07-18,,Goat's Warm Sleeping Bag,SKU-004,120.0,7,840.0,Canceled
53388ce8-7687-41bb-9d14-e905d7cf31c6,a4370d2d-ab15-4894-931b-22f46e0f5eac,2024-07-04,1a03bc66-1fa2-449e-a9b1-1be2547154c3,Otto's Climbing Crampons,SKU-007,110.0,4,440.0,Pending
6c864978-24e6-4898-95eb-1a35a05e7d94,9b405cb8-d67e-4e21-9f12-92c73a80beaa,2024-07-28,1a03bc66-1fa2-449e-a9b1-1be2547154c3,Goat's Warm Sleeping Bag,SKU-004,120.0,6,720.0,Completed
d0fb1e14-bbc0-4185-aac4-b0ba537ea031,c7a28c65-549f-46a0-a913-ceba5af4e90e,2024-07-17,1a03bc66-1fa2-449e-a9b1-1be2547154c3,Goat's Secure Harness,SKU-006,90.0,1,90.0,Completed
614a7b6f-f0c5-4a15-9c36-39d3496c94ec,b004e43f-14ee-4471-a904-9ae28edfc0f3,2024-07-13,,Goat's Secure Harness,SKU-006,90.0,10,900.0,Pending
80bdc60a-c5cc-48ca-999f-d77aa95addb2,b70ed054-b32b-4db4-b13c-2e5ff850b18d,2024-07-07,,Otto's Safety Helmet,SKU-003,50.0,5,250.0,Pending
6b3ae105-0b1f-4997-a791-0d8223a85ef7,362b7943-a35c-41ca-9d85-5917f2d156c4,2024-07-19,90710ad9-1f33-4394-8755-b21046e0b61b,Otto's Safety Helmet,SKU-003,50.0,2,100.0,Canceled
085c879f-cf00-4341-9842-d553ba55c8bd,7ce2f327-b1d1-4bce-b422-9d63af7fc834,2024-07-19,d8b5fe0e-d573-4608-9de3-df1b0ae5275e,Otto's Safety Helmet,SKU-003,50.0,6,300.0,Canceled
1df15c45-9560-47b5-bdb7-8a7eb982482d,0f1f15ce-36cf-42e4-9bb7-f8cdb8e028c0,2024-07-29,,Goat's Warm Sleeping Bag,SKU-004,120.0,2,240.0,Completed
78c4c771-6562-431d-9eb0-66aa44255460,967f39a7-773b-4c1e-b96f-8fadf72a1227,2024-07-05,,Goat's Warm Sleeping Bag,SKU-004,120.0,6,720.0,Pending
3e7e1825-73cc-44cc-b31e-d1c5c9492ca9,e7ec1f84-6a6a-4d06-9939-73b23b40a391,2024-07-13,508156d0-7640-407d-9771-3c084e90f7a7,Otto's Climbing Crampons,SKU-007,110.0,2,220.0,Pending
0f48c0f8-8d5a-4ef4-a6d7-c0390cb49354,773193fe-ad7b-4307-a3df-0565e32d1742,2024-07-02,,Otto's Adventure Rope,SKU-005,80.0,4,320.0,Completed
74f92a1e-45c2-437a-9041-0256b73a41eb,e298d901-1932-431f-a5cb-87a45f3c6f74,2024-07-11,,Goat's Secure Harness,SKU-006,90.0,4,360.0,Pending
59d40b4f-be38-4888-8af6-71d6f1d98a15,acd956d5-f535-4abf-b554-fe1d7954fcfd,2024-07-05,ac60ece0-aac8-4730-95eb-83e7ae2be559,Otto's Adventure Rope,SKU-005,80.0,8,640.0,Canceled
50ea6b1c-37d0-41e8-bd3f-4f77ddfc9399,7393c345-d86d-4494-890f-81d1590ba16e,2024-07-19,,Otto's Climbing Crampons,SKU-007,110.0,6,660.0,Canceled
89e548db-019e-49f6-ba9f-aae6464a62a2,612a21aa-78f8-443b-9480-d1a3b3ee1f7d,2024-07-27,,Otto's Adventure Rope,SKU-005,80.0,2,160.0,Completed
6c234a7f-5d31-4c53-af12-cbdfb7b6bfc1,62f8f243-5b4b-483a-9857-bcd6b04ae595,2024-07-13,ac60ece0-aac8-4730-95eb-83e7ae2be559,Otto's Cozy Tent,SKU-001,150.0,4,600.0,Pending
37911695-9bc9-4be2-8a58-15dce56381c6,d7a8c257-dee8-4312-bd06-d93cc900ca12,2024-07-10,,Otto's Climbing Crampons,SKU-007,110.0,7,770.0,Pending
e8ff8886-19a4-479b-9b20-e8b47177d567,09f2c067-8e07-4edc-8ecf-b2e235879254,2024-07-16,,Otto's Safety Helmet,SKU-003,50.0,10,500.0,Pending
9a7d983e-0c97-456d-bc9e-0eb6a4de51ab,fc1e3f40-3902-4be0-9f89-9ec274fd40f6,2024-07-19,ac60ece0-aac8-4730-95eb-83e7ae2be559,Goat's Warm Sleeping Bag,SKU-004,120.0,9,1080.0,Canceled
f4057c2c-dc80-4f18-8166-f785f8e041a7,7eae1fa9-27d7-4ec6-86ea-ba01b3c4b962,2024-07-04,ac60ece0-aac8-4730-95eb-83e7ae2be559,Otto's Safety Helmet,SKU-003,50.0,7,350.0,Completed
c435db89-0d6f-459f-9e37-07a7f8a393d6,2cc1d6f0-15ea-45a8-8e8e-d54aea2cce21,2024-07-16,fa95737b-d5a0-4eb7-a916-f3bc28728cf7,Goat's Warm Sleeping Bag,SKU-004,120.0,6,720.0,Canceled
b1409cf1-3d8a-4d8f-88bd-2d130d8b1bcb,fbd3df90-0ad6-4bef-9a0e-8fc147f887a5,2024-07-02,fa95737b-d5a0-4eb7-a916-f3bc28728cf7,Otto's Adventure Rope,SKU-005,80.0,5,400.0,Completed
c1c38c39-a405-48d2-bb1b-dbed2300e0bc,f9e6f808-7a8e-4deb-b76b-593a91ede106,2024-07-05,fa95737b-d5a0-4eb7-a916-f3bc28728cf7,Otto's Climbing Crampons,SKU-007,110.0,3,330.0,Pending
b5b08e6b-6e60-44bc-b85d-de48d204df7f,b4bd1a1d-d0fa-43c1-91ce-3a2f1ebf90b3,2024-07-09,fa95737b-d5a0-4eb7-a916-f3bc28728cf7,Otto's Adventure Rope,SKU-005,80.0,6,480.0,Pending
1e2e9889-10ab-4044-98c0-59a4fa723cb3,bacaaac7-e9a7-4244-83da-7497751f0953,2024-07-11,fa95737b-d5a0-4eb7-a916-f3bc28728cf7,Otto's Safety Helmet,SKU-003,50.0,10,500.0,Completed
9de0fb5b-0b0c-4efc-b262-06bc595f6a23,12c16595-a168-4d80-a27b-d57ab42589fc,2024-07-24,fa95737b-d5a0-4eb7-a916-f3bc28728cf7,Otto's Cozy Tent,SKU-001,150.0,5,750.0,Pending
1596aab9-1de5-4e70-93bb-96622f790283,95210858-0de8-469b-ba13-e185dba32f5b,2024-07-01,,Mountain Goat Ice Axe,SKU-002,100.0,1,100.0,Pending
23e4139a-5753-417c-9a12-6b68c73c8d83,0874b9c3-c0b5-45de-bd93-20c7bfa9f979,2024-07-04,84b8823c-4831-4861-8750-7df13a8b56f4,Goat's Warm Sleeping Bag,SKU-004,120.0,9,1080.0,Pending
694965e4-3df6-40ec-9812-f337fa8403da,45ca8d16-8e65-407b-a31c-dbc58d8cb67e,2024-07-17,,Otto's Climbing Crampons,SKU-007,110.0,10,1100.0,Pending
abe94ab2-e2ff-4d43-91f0-a14b19c7f99b,ead359a7-8f6b-4f6a-916b-081a1c5c100f,2024-07-09,80de1d15-2075-4015-a8b7-0b06b2f66bad,Otto's Cozy Tent,SKU-001,150.0,3,450.0,Pending
c360d586-aa4d-47fa-9a11-956dd23f5575,da6bbc9a-5051-4933-8412-0faece66f78f,2024-07-10,80de1d15-2075-4015-a8b7-0b06b2f66bad,Goat's Secure Harness,SKU-006,90.0,2,180.0,Completed
33ac397e-e02e-4ab3-bf7e-bfc890d25ca6,deca705a-0df3-4c06-84f4-923151df1e26,2024-07-24,,Otto's Cozy Tent,SKU-001,150.0,2,300.0,Canceled
df0236b9-6a72-48f4-ac87-d0ee71894383,1770a4eb-a07b-4789-9802-6cd585e8bad0,2024-07-08,80de1d15-2075-4015-a8b7-0b06b2f66bad,Otto's Climbing Crampons,SKU-007,110.0,8,880.0,Canceled
fd844746-c2c5-4649-a107-8a686573bb75,120c5b0d-4bc2-4bd4-9e35-914ff8be9eff,2024-07-16,,Otto's Cozy Tent,SKU-001,150.0,3,450.0,Canceled
e7e51594-2cb9-4839-82c7-634c9cd06743,990a064d-6fe4-45ef-af4f-5cc4cc4b7e10,2024-07-19,80de1d15-2075-4015-a8b7-0b06b2f66bad,Goat's Warm Sleeping Bag,SKU-004,120.0,7,840.0,Completed
ed7c2626-06fc-485c-b330-0d0e0756e6ea,47e3c929-ed87-4de3-bbbc-471aa1020d24,2024-07-20,80de1d15-2075-4015-a8b7-0b06b2f66bad,Goat's Warm Sleeping Bag,SKU-004,120.0,4,480.0,Completed
09868489-9865-4b5d-9420-cc8c70f51452,dd435e25-6d5c-4a0f-b68d-ac477a3da268,2024-07-14,7868f940-a137-4548-aeea-a357f5455a97,Otto's Climbing Crampons,SKU-007,110.0,4,440.0,Pending
49d6a4aa-84f5-46eb-a148-52c44c71f3f4,75215bda-baf6-4b3e-b7e0-1a8dde475360,2024-07-27,,Otto's Climbing Crampons,SKU-007,110.0,4,440.0,Canceled
7f330754-b703-4946-afc2-2921060362d6,912c00ae-6bed-40d7-b4dc-714779371363,2024-07-30,,Otto's Adventure Rope,SKU-005,80.0,5,400.0,Pending
ae1391fb-a451-4d9f-abdf-8fe7a1690303,8d6eae43-23bc-4083-8804-010167395d4e,2024-07-08,,Otto's Safety Helmet,SKU-003,50.0,1,50.0,Canceled
88045b01-94b2-4c0d-b912-c14c19d06490,0f95501b-9a46-47be-999e-34d54153f0ca,2024-07-19,693314f0-b32f-4796-b3c1-5ce653aa67cf,Goat's Warm Sleeping Bag,SKU-004,120.0,9,1080.0,Canceled
96f7bbff-901a-438b-8590-4a15a5eca7db,91ea4deb-ea73-46c7-9058-e59a9441f45d,2024-07-10,693314f0-b32f-4796-b3c1-5ce653aa67cf,Otto's Climbing Crampons,SKU-007,110.0,10,1100.0,Canceled
82e67149-c0f8-4d0d-a884-5f71841cd556,c9db4de3-b58d-422f-b7ae-5f80af1f0ad8,2024-07-05,fa3d8660-d2cc-4b91-adb6-48012ec9422d,Otto's Cozy Tent,SKU-001,150.0,10,1500.0,Canceled
159656bd-8389-465b-a90e-f86e24ad9d9f,c4034027-a706-4434-9ca1-6757b46ef5ae,2024-07-01,,Goat's Secure Harness,SKU-006,90.0,10,900.0,Completed
79ae77b8-be3e-4984-b74a-6e5a1916e0f6,f7d24f3f-fbb5-4cc7-90ad-c376c7ca1301,2024-07-08,fa3d8660-d2cc-4b91-adb6-48012ec9422d,Goat's Secure Harness,SKU-006,90.0,1,90.0,Completed
af851dab-b6e1-4ada-a0bc-ce3ad86198c1,672b0e46-f81f-4181-95a3-d02d9294059b,2024-07-07,fa3d8660-d2cc-4b91-adb6-48012ec9422d,Goat's Secure Harness,SKU-006,90.0,10,900.0,Pending
f425159f-d299-4897-bd17-d8cb44aeb350,351ca8a8-494e-4ee7-9388-ffc4f76229e9,2024-07-11,,Otto's Adventure Rope,SKU-005,80.0,2,160.0,Completed
b3a82ee0-cb2f-4107-becb-b142c553d25a,5ae73a20-32fb-49ea-9d95-8e3c9953cd83,2024-07-29,b2675d24-4393-42d2-8bab-6afcd1112a59,Otto's Safety Helmet,SKU-003,50.0,6,300.0,Completed
ea13b3f6-343c-46c9-baa7-760affef58cd,55d91092-8423-4bbb-9faa-5bd632074fbb,2024-07-14,,Otto's Safety Helmet,SKU-003,50.0,5,250.0,Canceled
eca87ba1-ef0b-48c2-96a9-b3a0636fda9f,f45cda88-7cb3-4fe5-8835-7358aca64b5e,2024-07-30,b2675d24-4393-42d2-8bab-6afcd1112a59,Mountain Goat Ice Axe,SKU-002,100.0,10,1000.0,Pending
291e87d7-03e6-4a55-aa96-9912e36add5b,aeb3ae0f-4beb-4682-be8b-f48ad1427f7a,2024-07-03,a946e011-7949-4a46-9139-14c43e02fa3b,Mountain Goat Ice Axe,SKU-002,100.0,4,400.0,Canceled
ced85304-073c-47c8-a9ed-05d2161d43c5,aa2a34db-6f9e-4e90-91ab-08b309d0b199,2024-07-18,6a2caf2c-1133-4ffd-b503-5151952319ab,Otto's Safety Helmet,SKU-003,50.0,9,450.0,Completed
464b80a1-b29e-4cfc-b51e-8bee29bec580,65704ed9-5e07-4615-aba1-b6dd8a04fb82,2024-07-21,f4108d88-62e2-4f57-9841-9e2e2ae9c355,Goat's Warm Sleeping Bag,SKU-004,120.0,8,960.0,Pending
5f4901d7-2c02-4f15-96ad-e3db9647dae8,3a56a4a5-c476-49b8-b933-8254bc48c110,2024-07-24,,Goat's Warm Sleeping Bag,SKU-004,120.0,5,600.0,Canceled
707645ca-aa17-4084-93b8-a655fbae4c3a,4277ba1b-c87f-4e14-a048-f6e77bb139b7,2024-07-22,,Mountain Goat Ice Axe,SKU-002,100.0,2,200.0,Pending
f9f3cfa2-226e-46b0-beb8-d65530ca96d5,658fd9be-3a77-4d33-9e6d-32f422e89cce,2024-07-02,f4108d88-62e2-4f57-9841-9e2e2ae9c355,Otto's Cozy Tent,SKU-001,150.0,8,1200.0,Completed
c358590c-57b8-40f2-b49a-caac7bc6a874,cce237b0-17c3-4cc5-9511-555792fb62cb,2024-07-27,f4108d88-62e2-4f57-9841-9e2e2ae9c355,Otto's Safety Helmet,SKU-003,50.0,5,250.0,Pending
981e75c4-261f-4c4f-918f-fda51e67db6f,4b01f18f-c29a-4ab7-abdc-c21279fde763,2024-07-29,f4108d88-62e2-4f57-9841-9e2e2ae9c355,Goat's Warm Sleeping Bag,SKU-004,120.0,9,1080.0,Canceled
f005bc58-90ab-410f-9572-8ac4d8ce9841,4b01f18f-c29a-4ab7-abdc-c21279fde763,2024-07-22,,Otto's Safety Helmet,SKU-003,50.0,6,300.0,Pending
39844b0f-25b3-4473-95b0-33d258eed204,52d73b63-a5bc-491e-a6de-9a4a358f652d,2024-07-07,e15276fc-17ab-4225-921f-620cd7f43be0,Otto's Safety Helmet,SKU-003,50.0,10,500.0,Completed
b0ee63a8-06ab-434f-ba2f-d50d8bf99b1c,d6767089-a42b-448a-b2be-526f2fa0402f,2024-07-19,,Otto's Cozy Tent,SKU-001,150.0,6,900.0,Completed
914fa5e0-9441-48de-9d1d-5f9875a42521,30b316ed-0ab1-4b7d-8def-a6f12815b1a5,2024-07-10,,Otto's Cozy Tent,SKU-001,150.0,2,300.0,Canceled
5a45c29c-1203-482b-a56f-ea9ba1f9d79a,c503a7a4-1b99-4261-b322-2778f5a35915,2024-07-10,e15276fc-17ab-4225-921f-620cd7f43be0,Otto's Safety Helmet,SKU-003,50.0,7,350.0,Canceled
47df89b1-e309-4199-8817-752be014b603,4453e7dd-6075-4cfc-88cc-738d22fac3a9,2024-07-14,e15276fc-17ab-4225-921f-620cd7f43be0,Otto's Climbing Crampons,SKU-007,110.0,6,660.0,Pending
a352e6b0-6dfa-430f-a947-b2880d3fc606,eb8ec275-d8cd-4fe0-8791-17cd760fd49b,2024-07-17,,Goat's Secure Harness,SKU-006,90.0,10,900.0,Canceled
558d2232-e8e9-4b09-a633-58cb712bef9d,be01bf8f-f628-4200-a56f-dfe3a3a1b84c,2024-07-08,5f16e1df-4321-463e-81ab-8a10bb4277e6,Mountain Goat Ice Axe,SKU-002,100.0,9,900.0,Pending
e4bad1b9-e1e5-4db3-a1b3-b43d7c45bde2,2beec4af-19bc-4852-beb8-b34256086a55,2024-07-25,,Otto's Safety Helmet,SKU-003,50.0,10,500.0,Canceled
c26d1671-44e6-45c2-83c7-233665f2cdef,80ff460c-2234-41bd-9e78-2e25dcba080a,2024-07-31,,Otto's Cozy Tent,SKU-001,150.0,8,1200.0,Canceled
a844a8a3-df12-4ce0-9ed2-e4de61ce25fb,b60c3a34-a03e-4ede-b739-491111071614,2024-07-28,11d905f5-4b14-40c1-87a7-b26f5e87c28a,Otto's Adventure Rope,SKU-005,80.0,4,320.0,Pending
560ba539-6d38-484e-a5ae-e4d117e26913,9258821f-5a7b-4886-9f7c-c5874fb82e29,2024-07-26,973ad0d1-3e7a-47b9-9a3e-7b59084409b1,Goat's Warm Sleeping Bag,SKU-004,120.0,3,360.0,Pending
0650e79d-1126-46f1-832c-95271fbc0bbc,7c41c35f-ccd0-4b90-80f7-45c3b43d47eb,2024-07-14,973ad0d1-3e7a-47b9-9a3e-7b59084409b1,Otto's Climbing Crampons,SKU-007,110.0,1,110.0,Canceled
