session_id,visit_timestamp,customer_id,page_visited,session_duration,device_type,traffic_source,conversion
4c07cec7-bd46-4fb1-9478-9256f7924a32,2024-09-08 02:16:43,5f3efdd5-6cfb-45f9-aa5d-cd6ec3a022d5,/contact,20.08,Desktop,Paid,True
92776a2f-76d5-442b-8242-0b068e56c100,2024-09-08 05:58:18,ae968851-791c-47aa-9fb6-fe40121ccf9b,/faq,6.11,Desktop,Direct,True
4b795c1e-4d5a-441a-92f3-229c4b5154fa,2024-09-08 21:45:59,45a71258-3b6d-4aa5-a1dc-40e717aafaf7,/home,34.72,Desktop,Organic,True
2f2d1866-9272-417b-a053-c25e0c9190a2,2024-09-08 23:16:52,15676e08-0514-4e46-9076-7224c399a4a3,/about-us,1.36,Desktop,Direct,False
a686d7fb-8445-461b-b7ee-ce2178f07282,2024-09-08 16:47:31,c12fbcfc-401e-4f8e-9b94-b3f38f4eb342,/contact,27.19,Mobile,Social,True
ce030ff3-f183-478f-8957-69e3401a2244,2024-09-08 11:33:24,9f725826-3a4c-47f1-bf45-ba607be81c49,/gear,6.68,Tablet,Social,False
9cba4193-51ff-4c37-b1d4-38c6d1aca23d,2024-09-08 14:01:58,8f97208c-3e55-422f-97c3-9f68462aa99b,/gear,52.16,Desktop,Direct,True
4468ebf1-a64b-4823-af9f-b2e845d012c2,2024-09-08 16:53:23,8fa737e9-147c-49d4-99ab-810bcdf70d38,/blog/expedition-stories,14.24,Mobile,Paid,False
a4ce4020-62da-43a1-86c4-caa241e61990,2024-09-08 02:14:20,3a19fb6b-75ae-4731-b168-22b6d294b8bf,/home,16.08,Mobile,Organic,True
5f728ceb-377d-4d82-943d-cfac4c887c10,2024-09-08 23:22:14,dbf50145-f4d3-4996-a716-8c58a3b6d83e,/expeditions/routes,13.99,Mobile,Organic,False
fad93e6a-e71c-4935-9ccd-a550396d1b61,2024-09-08 16:29:50,c89ea56c-cecc-43ce-b62a-12423acf4708,/faq,41.9,Mobile,Direct,True
4f4530cb-05f5-4c76-84f8-871e6bc59b3f,2024-09-08 04:25:14,fb12b957-2f95-4eaa-8970-85ecf50a4a75,/blog/mountaineering-tips,8.9,Mobile,Social,True
99926feb-3083-416d-9026-9e29195fb7f2,2024-09-08 16:40:30,42d6aa79-caa5-4260-92c9-aecd500c32d1,/expeditions/routes,46.18,Mobile,Paid,False
1f92eb60-6920-40e6-8c62-36326642fd53,2024-09-08 17:14:12,a1736a67-032f-4adc-aea7-148d08912c9f,/gear/rentals,22.91,Tablet,Direct,False
df3601b3-45f9-418f-9599-ff880eeb4e2b,2024-09-08 09:00:41,9c74d90f-60bb-4b96-92fb-73eb1c4749f0,/home,14.05,Tablet,Organic,True
2c76d5e7-b3c6-461d-8476-f777a01b69ae,2024-09-08 12:12:35,6080634a-b59f-4e08-bba0-ea884ac1e0e0,/signup,23.87,Desktop,Direct,True
74a90cba-7133-44e8-853c-ad9d9937141f,2024-09-08 03:57:43,f554bc3f-3f73-4cfd-aa7c-f3e2edb17d09,/expeditions/routes,35.61,Tablet,Organic,True
9ee50a6f-91f0-4397-8a0a-d44d0d5b892d,2024-09-08 02:07:33,db458d88-0f7c-463e-b26d-3906e4811388,/gear/purchase,30.89,Tablet,Paid,True
e6224603-db6a-40e7-a1ca-2cc4b37126e8,2024-09-08 00:10:40,88704144-4a52-4883-8926-57a412be12bb,/gear/rentals,25.21,Tablet,Paid,False
1d6fb423-9367-456b-8bcb-1fdb322436e6,2024-09-08 17:48:44,8c88f85b-db0e-472c-9530-141db43db3c8,/expeditions/routes,12.06,Desktop,Paid,True
4186ff63-a0f7-4848-abf1-a191f838f39c,2024-09-08 20:11:16,9cfd3b17-a5e1-4ab8-9d04-de8d6e347604,/blog/mountaineering-tips,41.9,Desktop,Social,False
c97f6d36-db3b-47cf-819c-edf76ce3eaf7,2024-09-08 02:16:54,ebf82860-d87c-4313-b178-f97a77289c0b,/expeditions/rock-climbing,47.43,Desktop,Social,False
15550d45-a1fc-470e-9e07-1b44584f8d70,2024-09-08 23:15:45,1e50d826-47d7-4ec7-aa49-4cd347c2392a,/expeditions,40.87,Mobile,Social,True
be752378-162a-419e-8a3e-9bba285bd7bc,2024-09-08 12:45:34,3ab4174b-cc48-4ce2-bfc1-9f43eeb066b3,/blog/expedition-stories,33.52,Tablet,Social,True
b95ca288-eed1-4c58-a4de-0c68bf4fcbc8,2024-09-08 02:06:08,dd101ce6-c023-499b-bcac-68bb29796f5d,/gear,59.17,Tablet,Direct,False
7e079924-f8a8-450e-a88f-416e34e40f53,2024-09-08 02:26:33,ccc84a69-b9f7-4c3c-9c88-aa609470e80f,/blog/expedition-stories,52.01,Tablet,Direct,True
fba61c33-5f29-45d2-a9c7-2dc13ccdb5fb,2024-09-08 03:39:16,af344f1a-4a90-4f3d-9e0f-ed2fdcee8fbc,/blog/mountaineering-tips,28.78,Tablet,Organic,True
59e0ac28-1ed1-42a9-b1e4-087c0067fbe6,2024-09-08 14:42:48,1ed0eb00-b97e-43b2-98bd-745a14173574,/gear/purchase,7.16,Desktop,Paid,True
976f1204-176f-426c-92bc-98297d5365fa,2024-09-08 21:07:49,68e0d418-2ccc-4fd1-8fe1-fb1e3b27407a,/blog/expedition-stories,50.41,Tablet,Paid,True
f55c6584-a83a-43c7-8a48-6836c02e157d,2024-09-08 14:32:44,8b856429-2ef0-458b-b27e-34fa784ad311,/home,39.88,Tablet,Organic,False
eaa43de0-6def-432b-8a88-87cea80d836a,2024-09-08 10:29:20,ee6bd5b2-18ef-4dbd-b0b8-b429169601ed,/home,37.35,Mobile,Social,True
7abbdfee-da59-4e35-b46e-847f66069e3c,2024-09-08 07:05:34,19c539e6-cd98-4ed7-8144-3df2a4fa35c5,/blog/expedition-stories,52.48,Desktop,Direct,False
681d3d89-b5b6-4bd1-97d2-ddae897dee95,2024-09-08 13:11:51,b524f752-1f68-4594-89ad-dfebebeec153,/home,36.01,Mobile,Organic,False
21fe3c71-6f2e-4920-8b6b-8f662c8a1ca6,2024-09-08 01:04:18,beb16d67-b73b-4195-9eb3-53490f822274,/faq,3.34,Desktop,Social,False
0e0c901b-5cec-4f6c-91b8-61c49064e310,2024-09-08 13:37:49,0843d5a8-1f75-40da-be29-16f8be81270c,/blog/mountaineering-tips,58.49,Mobile,Organic,False
01081616-4115-4bab-bebb-3f60ad51fd25,2024-09-08 15:04:58,c271b2ea-8dbd-4a1f-9c05-acfcf0885619,/blog/expedition-stories,55.22,Desktop,Organic,False
6a490d45-5b4a-46b8-99c8-beedd8cc13bd,2024-09-08 22:15:41,be7b18f7-134e-40e0-8167-9fe7492d92de,/signup,4.43,Desktop,Direct,True
c96a6942-821e-44f3-9dd3-60edb4379f1a,2024-09-08 00:29:45,d3b3e30b-a25a-40b4-ab0b-ac001fe3de82,/expeditions/mountaineering,3.04,Desktop,Organic,True
fe5b0533-b112-4299-89c5-baafc564e24a,2024-09-08 13:29:37,9f0e0f0f-5263-4a34-8a57-ffbe5977c481,/gear,52.45,Tablet,Direct,True
1cd737ea-8973-458a-beb5-35d710b14da9,2024-09-08 00:05:27,0e5a6929-b192-4615-b1ef-445ac2ce6ffe,/faq,22.99,Tablet,Organic,True
56aac090-9746-4885-a75a-ecbe246bef75,2024-09-08 04:31:49,4548a347-5c26-4a51-92b0-2cfc8b970e17,/blog/mountaineering-tips,38.7,Mobile,Organic,True
e8712614-9bd7-48ce-96e8-5e5de87a5ed0,2024-09-08 05:18:53,5e57c8b5-20f2-4600-95fe-e8adaf13dcd0,/about-us,56.96,Mobile,Paid,True
bc623ca8-b44d-4a37-bc61-c03a7dce13f0,2024-09-08 17:35:39,c44d202c-92c0-47d7-b5b3-fec2638cdf70,/signup,48.89,Tablet,Social,True
