route_id,route_name,difficulty_level,region,altitude_gain,route_length,average_duration,previous_success_rate,best_season
OR-ROC,Otto's Ridge,Difficult,Rockies,1200,15.5,3.5,78.0,Summer
GPT-ALP,Goat Peak Traverse,Extreme,Alps,1500,20.0,5.0,65.0,Fall
SOS-HIM,Summit of Serenity,Moderate,Himalayas,800,10.0,2.5,85.0,Spring
AG-AND,Ascender's Glory,Difficult,Andes,1700,18.5,4.0,70.0,Summer
OVA-CAS,Otto's Vertical Ascent,Extreme,Cascades,2100,22.0,6.0,60.0,Winter
TOTB-ROC,Trail of the Brave,Moderate,Rockies,900,12.0,3.0,80.0,Summer
PP-APP,Pinnacle Path,Easy,Appalachians,600,8.0,1.5,95.0,Fall
EP-ALP,Eagle's Perch,Difficult,Alps,1300,16.5,4.0,75.0,Summer
SA-ROC,Skyline Ascent,Moderate,Rockies,1100,14.0,3.5,82.0,Spring
FPO-HIM,Frozen Peak Odyssey,Extreme,Himalayas,2500,30.0,8.0,55.0,Winter
SOL-AND,Summit of Legends,Difficult,Andes,2000,24.0,6.0,68.0,Spring
OHT-ROC,Otto's High Trail,Moderate,Rockies,1000,13.0,3.0,83.0,Fall
EP-HIM,Everlast Peak,Extreme,Himalayas,2700,28.0,7.5,58.0,Summer
OAA-CAS,Otto's Alpine Adventure,Easy,Cascades,500,7.0,1.0,97.0,Summer
SOS-ALP,Summit of Silence,Difficult,Alps,1400,17.0,4.5,72.0,Fall
